Ann‚e faits;Montant total;Date faits;Cat‚gorie;Langue;RŠglement;Infractions;Lieu
2020;58,00 ?;03-03-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø + 121;Rue Edouard Henrard 8, 1160 AUDERGHEM
2020;116,00 ?;03-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;24.al.1.4ø;Avenue Charles Madoux, 2 1160 AUDERGHEM
2020;58,00 ?;03-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;24.al.1.7ø;Rue Jules-Emile Raymond,  1160 AUDERGHEM
2020;58,00 ?;03-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;24.al.1.7ø;Rue Edouard Henrard , 1160 AUDERGHEM
2020;58,00 ?;03-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;24.al.1.7ø;Rue Edouard Henrard,  1160 AUDERGHEM
2020;58,00 ?;03-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;70.2.1.1ø;Avenue Charles Brassine, 38 1160 AUDERGHEM
2020;350,00 ?;03-03-20;Administrative;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;14;Rue des Trois Ponts Station Delta, 1160 AUDERGHEM
2020;350,00 ?;03-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;55 + 121;Boulevard du Triomphe 36, 1160 AUDERGHEM
2020;116,00 ?;03-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;24.al.1 + 121;Av. Louis Dehoux 25, 1160 AUDERGHEM
2020;116,00 ?;04-03-20;Stationnement;N‚erlandais;AUDERGHEM-RGP;24.al.1 + 121;Dorpelingstraat 89, 1160 OUDERGEM
2020;58,00 ?;04-03-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;23.1.1ø + 121;Avenue de Waha 46, 1160 AUDERGHEM
2020;58,00 ?;04-03-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø + 121;Rue Emile Idiers F1, 1160 AUDERGHEM
2020;58,00 ?;04-03-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø + 121;Chauss‚e de Wavre 1745, 1160 AUDERGHEM
2020;58,00 ?;04-03-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;24.al.1.7ø + 121;Avenue des FrŠres Goemaere 45, 1160 AUDERGHEM
2020;58,00 ?;04-03-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;77.5 + 121;Avenue des FrŠres Goemaere F48, 1160 AUDERGHEM
2020;58,00 ?;04-03-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;77.5 + 121;Square du Sacr‚-Coeur F50, 1160 AUDERGHEM
2020;58,00 ?;04-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;77.4;Place Edouard Pinoy, 8 1160 AUDERGHEM
2020;58,00 ?;04-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;70.2.1.1ø;Avenue Jean Van Horenbeeck 196, 1160 AUDERGHEM
2020;58,00 ?;04-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;70.2.1.1ø;Avenue Jean Van Horenbeeck, 196 1160 AUDERGHEM
2020;58,00 ?;04-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;70.2.1.1ø;Avenue Jean Van Horenbeeck 196, 1160 AUDERGHEM
2020;175,00 ?;04-03-20;Administrative;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;14õ1;Square du Sacr‚-Coeur Bulle … verre, 1160 AUDERGHEM
2020;175,00 ?;04-03-20;Administrative;N‚erlandais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;14õ2 + 121;Emile Idiersstraat 21, 1160 OUDERGEM
2020;116,00 ?;04-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;24.al.1 + 122 + 121;Chauss‚e de Wavre Face 1913, 1160 AUDERGHEM
2020;58,00 ?;05-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;70.2.1.1ø + 121;Rue Emile Idiers F14, 1160 AUDERGHEM
2020;58,00 ?;05-03-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø + 121;Rue Emile Idiers 35, 1160 AUDERGHEM
2020;58,00 ?;05-03-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø + 121;Rue Emile Idiers 1, 1160 AUDERGHEM
